"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"XCF2621",2.6,3.3,2,3,3,5,2004,2005,2.6,3.23,2,2.5,3,5,18,FALSE,38.21017,-76.46567,371682,4230149
"XCF7068",0.7,2.5,0.5,0.5,1,1,2003,2003,1.04,2.48,0.5,0.5,1,1,3,FALSE,38.2841,-76.3879,378614,4238248
"XCF9029",0.4,2.9,0.25,1.5,1,3,2003,2006,0.8,2.3,0.5,1,1,2,96,FALSE,38.3167,-76.4526,373012,4241952
"XCG5495",0.5,1.5,0.2,1.2,1,3,2008,2010,0.8,1.3,0.5,1,1,2,65,FALSE,38.2565,-76.1743,397258,4234926
"XCG8862",1,1.8,0.7,1.5,1,3,2018,2019,1.1,1.6,0.8,1.3,2,3,43,FALSE,38.3134,-76.22933,392527,4241303
"XCG9168",0.5,1.6,0.2,1.3,1,3,2008,2010,0.8,1.4,0.5,1.1,1,2,65,FALSE,38.3191,-76.2196,393386,4241924
"XCH2613",5.3,6.6,5,6.3,6,8,2018,2019,5.53,6.24,5.23,5.94,7,7,14,FALSE,38.21032,-76.14286,399946,4229767
"XCH4378",1.8,2.8,1.5,2.5,3,5,2003,2005,2,2.8,1.7,2.5,4,5,19,FALSE,38.23858,-76.03598,409338,4232793
"XCH6533",2.5,3.5,2.2,3.2,3,6,2008,2010,2.5,3.3,2.2,3,4,5,21,FALSE,38.2746,-76.1114,402785,4236867
"XCH7507",10.3,15.6,10,15.3,11,17,2008,2010,11.7,15.1,11.4,14.8,13,16,21,FALSE,38.2903,-76.1548,399011,4238655
"XCH8097",0.8,2.1,0.5,1.7,1,3,2003,2005,1.2,1.9,0.9,1.5,1,3,63,FALSE,38.30003,-76.00557,412073,4239583
"XCH8973",1,2,0.7,1.7,2,4,2003,2005,1.28,2,0.98,1.7,2,4,20,FALSE,38.31555,-76.04472,408669,4241343
"XCI3696",1.2,2.6,0.9,2.3,2,5,2006,2008,1.55,2.3,1.25,2,3,4,16,FALSE,38.2261,-75.8395,426520,4231234
"XCI4078",2.6,5.7,1.6,4.7,3,6,2003,2013,3.3,5,2.4,4,4,5,126,FALSE,38.23379,-75.86963,423891,4232112
"XCI4821",0.7,2.3,0.5,1.7,1,4,2003,2005,0.8,2,0.5,1.7,1,4,19,FALSE,38.24675,-75.96413,415635,4233632
"XCI5506",2.8,6.3,2.5,6,5,8,2003,2003,3.8,6.22,3.5,5.92,5.4,7.6,5,FALSE,38.22583,-75.98915,413421,4231334
"XCI5934",1.3,2.4,1,2.1,2,4,2012,2014,1.4,2.3,1.1,2,2,4,21,FALSE,38.26552,-75.94332,417477,4235696
"XCI6253",0.8,3.4,0.5,3.1,1,5,2012,2014,1.1,2.5,0.8,2.2,2,5,21,FALSE,38.26988,-75.91052,420351,4236151
"XCI9167",0.4,1.4,0.1,1.1,1,2,2012,2014,0.6,1.2,0.3,0.9,1,2,67,FALSE,38.3182,-75.88857,422323,4241494
"XCJ5200",1.7,2.6,1.4,2.3,3,5,2006,2008,1.8,2.51,1.5,2.21,3,5,20,FALSE,38.2535,-75.8324,427169,4234269
"XCJ6023",1,2.5,0.7,10.02,2,4,2006,2008,1.2,2,0.9,1.7,2,3,64,FALSE,38.26713,-75.79512,430444,4235753
"XDA0338",2,3.2,1.7,3,4,6,2006,2008,2.2,2.9,1.9,2.7,4,5,21,FALSE,38.3383,-77.27,301607,4245789
"XDA6515",2.6,3.7,2.3,3.3,4,5,2006,2008,2.8,3.5,2.5,3.1,4,5,21,FALSE,38.4417,-77.3083,298546,4257348
"XDA8236",5,6,1,5.7,1,7,2018,2019,5.27,5.93,4.9,5.62,6,7,29,FALSE,38.46978,-77.27277,301726,4260388
"XDB4544",0.3,3.5,0.1,3.2,1,5,2006,2008,0.5,1.51,0.19,1.21,1,3,60,FALSE,38.4084,-77.1103,315743,4253238
"XDB4877",1.8,5.3,1.5,5,3,6,2006,2008,2,5,1.7,4.7,3,6,21,FALSE,38.4142,-77.0391,321975,4253741
"XDB8278",2,2.9,1.7,2.6,3,6,2006,2008,2.1,2.7,1.8,2.4,4,5,21,FALSE,38.4697,-77.0371,322286,4259897
"XDB8884",0.7,1.6,0.4,1.3,1,3,2007,2008,0.81,1.4,0.5,1.1,1,2,32,FALSE,38.47963,-77.02748,323149,4260980
"XDC3807",1.3,2.8,1,2.5,2,5,2006,2008,1.8,2.4,1.5,2.1,3,4,70,FALSE,38.396,-76.9891,326297,4251626
"XDD9298",2,2.2,0.5,0.5,1,1,2003,2003,2.02,2.18,0.5,0.5,1,1,2,FALSE,38.487,-76.6703,354322,4261172
"XDE4587",0.8,11.2,0.2,1.5,1,4,2003,2007,1.2,1.8,0.5,1.48,1,3,123,FALSE,38.4088,-76.5218,367131,4252270
"XDF0255",0.3,1.1,0.1,0.8,1,2,2018,2019,0.4,0.96,0.1,0.66,1,1,25,FALSE,38.33645,-76.40832,376917,4244083
"XDF6533",1.3,3.7,1,3.4,2,6,2017,2019,1.5,3.1,1.2,2.8,3,5,21,FALSE,38.44173,-76.44526,373872,4255817
"XDG1188",1.5,2.2,1.2,1.9,2,4,2008,2010,1.6,2,1.2,1.7,3,4,21,FALSE,38.3523,-76.1862,396353,4245570
"XDG2324",4.2,5.6,3.9,5.3,5,7,2018,2019,4.53,5.51,4.23,5.21,6,6.7,14,FALSE,38.3715,-76.29317,387036,4247828
"XDG5922",1.1,2.2,0.5,1.9,1,4,2018,2019,1.32,2.08,1.02,1.78,2,4,33,FALSE,38.43147,-76.2971,386840,4254485
"XDG6518",1.3,2.2,1,1.9,2,4,2017,2018,1.5,2,1.2,1.7,2,4,25,FALSE,38.44177,-76.30286,386300,4255636
"XDI1306",1.3,2.2,1,1.9,2,4,2003,2003,1.4,1.9,1.1,1.6,2.5,3.5,6,FALSE,38.35545,-75.99012,413490,4245717
"XDI1487",1.6,4.7,1.3,4.4,3,6,2012,2014,2.1,4.2,1.8,3.9,4,5,21,FALSE,38.35722,-75.85513,425286,4245796
"XDI4990",0.8,7.1,0.5,6.8,1,8,2012,2014,1.3,5.8,1,5.5,2,7,21,FALSE,38.41505,-75.85,425794,4252209
"XDJ6207",2.9,6.9,2.6,6.6,4,8,2012,2014,3.2,6.3,2.9,6,5,7,21,FALSE,38.44037,-75.82168,428291,4254996
"XDJ8905",1.7,9.3,1.4,9,3,10,2012,2014,2.59,4.02,2.29,3.72,4,6,70,FALSE,38.48135,-75.8244,428094,4259545
"XDJ9007",0.4,4,0,4,1,4,2003,2013,1.28,2.56,0,0,1,1,128,FALSE,38.48375,-75.82098,428395,4259809
"XDN6921",0.3,1,0.1,0.7,1,2,2008,2019,0.4,0.8,0.1,0.5,1,1,190,FALSE,38.44902,-75.13245,488442,4255644
"XEA3687",0.8,2.2,0.5,1.9,1,4,2004,2015,1.2,1.8,0.9,1.5,2,3,197,FALSE,38.55925,-77.1887,309296,4270138
"XEA6046",0.8,1.8,0.5,1.5,1,3,2006,2006,0.85,1.65,0.5,1.25,1,2.5,6,FALSE,38.6,-77.257,303455,4274805
"XEA8467",2.5,3.7,2,3.5,4,7,2007,2008,2.53,3.67,2.5,3,4,6,14,FALSE,38.66,-77.23,305968,4281406
"XEA9461",0.3,1,0.25,0.3,1,1,2006,2006,0.51,1,0.25,0.3,1,1,4,FALSE,38.6559,-77.2321,305774,4280956
"XEB5404",1,2.4,0.5,2.1,1,4,2009,2014,1.23,1.9,0.9,1.6,2,3,64,FALSE,38.59017,-77.16063,311822,4273512
"XED0694",1,18.5,0.5,2,1,4,2003,2005,1.6,2.26,0.699999999999999,1.8,1,3,75,FALSE,38.5104,-76.6773,353759,4263780
"XEE1502",2.8,4,0.5,4,1,8,2003,2005,3.2,3.9,0.5,3.5,1,7,21,FALSE,38.5253,-76.664,354948,4265412
"XEE3591",1,1.8,0.7,1.5,1,3,2017,2017,1.03,1.57,0.73,1.27,1.3,3,14,FALSE,38.55789,-76.51502,367996,4268805
"XEE3604",0.1,10.9,0.5,1,1,2,2003,2005,0.9,1.5,0.5,1,1,2,21,FALSE,38.5605,-76.6605,355324,4269313
"XEE3691",0.7,1.9,0.4,1.6,1,4,2017,2019,1,1.7,0.7,1.4,1,3,51,FALSE,38.55972,-76.5154,367966,4269009
"XEF3551",10.8,12,9,11.7,10,13,2010,2019,11.2,11.73,10.49,11.4,11,13,98,FALSE,38.5563,-76.4147,376734,4268489
"XEF4689",4.9,6.9,4.6,6.6,6,8,2017,2019,5.2,6.6,4.9,6.3,6,8,21,FALSE,38.57635,-76.35187,382242,4270632
"XEG0138",1,3,0.7,2.7,2,6,2005,2007,1.8,2.9,1.5,2.6,3,5,21,FALSE,38.5023,-76.2708,389190,4262313
"XEG1995",2.7,4.9,0.5,4.6,1,6,2005,2007,3.3,4.6,3,4.3,4,6,21,FALSE,38.5283,-76.1791,397223,4265092
"XEG2646",0.6,1.6,0.3,1.3,1,3,2005,2007,0.8,1.3,0.5,1,1,2,68,FALSE,38.5427,-76.25588,390552,4266778
"XEG3623",1.2,2.3,1,2,2,4,2005,2007,1.4,2,1.1,1.7,3,4,21,FALSE,38.5601,-76.294,387257,4268755
"XEG4991",0.8,1.9,0.5,1.6,1,3,2005,2007,1.07,1.63,0.74,1.3,1,3,68,FALSE,38.58217,-76.18211,397038,4271073
"XEG5627",1.3,3.8,1,3.5,2,6,2006,2008,2.6,3.8,2.3,3.5,4,5,21,FALSE,38.5933,-76.2883,387805,4272433
"XEG6966",1.1,2.1,1,1.8,2,4,2006,2008,1.4,1.9,1.1,1.6,2,3,21,FALSE,38.6159,-76.2234,393491,4274863
"XEG7539",1.3,2.5,1,2.2,2,5,2006,2008,1.6,2.2,1.3,1.9,3,4,21,FALSE,38.6245,-76.2688,389552,4275871
"XEG8519",3.9,5,3.6,4.7,5,6,2006,2008,4,4.8,3.7,4.5,5,6,21,FALSE,38.6414,-76.3023,386662,4277787
"XEG8593",10.3,18.6,10,18.3,11,20,2006,2008,16.5,18.2,15.3,17.9,17,19,21,FALSE,38.6428,-76.178,397482,4277797
"XEH5622",1.8,3,1.5,2.7,2,5,2006,2008,2.04,2.8,1.8,2.5,4,5,65,FALSE,38.5935,-76.1288,401696,4272272
"XEH7912",10.4,14.3,9.7,14,11,15,2006,2008,10.6,13.3,10.3,13,12,14,21,FALSE,38.6313,-76.1469,400173,4276486
"XEH8132",2.3,3.5,2,3.2,4,6,2006,2008,2.7,3.3,2.4,3,4,6,21,FALSE,38.6415,-76.1111,403302,4277580
"XEI7405",1.2,2.8,0.5,2.5,1,5,2006,2008,1.3,1.9,1,1.6,2,3,67,FALSE,38.6226,-75.9912,413715,4275363
"XEJ0543",3.3,9,3,8.7,4,10,2012,2014,5.5,8.1,5.2,7.8,7,9,21,FALSE,38.50867,-75.76185,433575,4262530
"XEJ2464",0.8,4.5,0.5,4.2,1,6,2012,2014,1.88,3,1.4,2.7,3,5,70,FALSE,38.53933,-75.72613,436717,4265907
"XFB0231",0.3,3.5,0.1,3.5,1,7,2004,2008,0.59,1.51,0.29,1.23,1,2.10000000000001,100,FALSE,38.66993,-77.11513,315990,4282272
"XFB0500",0.9,2,1,1.5,2,3,2006,2008,1.09,1.81,1,1.5,2,3,20,FALSE,38.6758,-77.1663,311553,4283027
"XFB1839",1.3,2.3,0.5,2,1,4,2004,2004,1.42,2.12,0.5,1.7,1,3.4,7,FALSE,38.6961,-77.1022,317181,4285150
"XFB1986",0.5,2.9,0,2.1,1,3,1990,2019,1,2,0.5,1.1,1,2,504,TRUE,38.69787,-77.02317,324059,4285192
"XFB2184",0,10,0.2,2,1,4,2004,2008,0.9,1.8,0.6,1.5,1,3,102,FALSE,38.70157,-77.02593,323828,4285608
"XFB5581",1.5,2.8,0.5,2.5,1,5,2004,2004,1.68,2.38,0.5,1.9,1,3.8,7,FALSE,38.7592,-77.0312,323512,4292014
"XFB7379",5.3,8.5,1,8.2,1,9,2011,2017,5.78,7.58,5.38,7.24,6.9,8.1,40,FALSE,38.78767,-77.03565,323195,4295182
"XFB8408",0.8,3.3,0.5,3,1,6,2006,2008,0.8,2.42,0.95,2.05,1.9,4.1,20,FALSE,38.8079,-77.0321,323554,4297420
"XFD1283",2.1,2.9,0.5,2.5,1,5,2003,2005,2.2,2.8,0.5,2.5,1,5,21,FALSE,38.6863,-76.6958,352506,4283330
"XFE1386",2.1,4.7,1.8,4.4,4,6,2017,2019,2.6,3.9,2.3,3.6,4,5,21,FALSE,38.68838,-76.52252,367583,4283297
"XFE5373",3.3,4.2,3,3.9,4,5,2017,2019,3.3,4.1,3,3.8,4,5,21,FALSE,38.75465,-76.54488,365762,4290683
"XFF2293",1,2.6,0.7,2.3,1,5,2017,2019,1.6,2.2,1.21,1.9,3,4,62,FALSE,38.70365,-76.3453,383021,4284750
"XFG0809",1,2.6,0.7,2.3,2,5,2006,2008,1.28,1.85,1,1.5,2,3,21,FALSE,38.6797,-76.3173,385417,4282056
"XFG0965",1.9,2.8,1.6,2.5,3,5,2006,2008,2,2.7,1.7,2.4,4,5,21,FALSE,38.6821,-76.2252,393432,4282212
"XFG2810",2.8,4.3,2,4,2,6,2013,2019,3.02,3.8,2.7,3.5,4,5,103,FALSE,38.71252,-76.3168,385513,4285698
"XFG3973",0.8,2.5,0.5,2.2,1,5,2006,2008,1,1.8,0.7,1.5,2,3,21,FALSE,38.7323,-76.2125,394611,4287768
"XFG4618",2.1,3.5,1,3,1,5,2012,2019,2.33,3.2,1.5,2,3,4,114,FALSE,38.74323,-76.30338,386729,4289089
"XFG4620",1.5,2.7,1.2,2.4,2,5,2006,2008,1.9,2.5,1.6,2.2,3,5,21,FALSE,38.7433,-76.2999,387031,4289093
"XFG5054",0.4,3.5,0.1,3.2,1,4,2006,2008,0.8,1.5,0.5,1.12,1,2.2,69,FALSE,38.74935,-76.24397,391901,4289696
"XFG6431",2.6,4.7,2.3,4.4,2,6,2013,2019,2.9,4,2.6,3.7,4,5,104,FALSE,38.77315,-76.2823,388607,4292383
"XFG9164",0.3,2.2,0.1,1.4,1,3,2004,2006,0.8,1.4,0.5,1,1,2,71,FALSE,38.8194,-76.2259,393576,4297449
"XFG9210",2.8,5.3,2.5,5,5,6,2004,2006,4.3,5,4,4.7,5,6,21,FALSE,38.82,-76.316,385754,4297624
"XFH2312",5.6,11.7,5.3,11.4,7,13,2006,2008,6.5,8.5,6.2,8.2,8,10,21,FALSE,38.7052,-76.1468,400284,4284687
"XFH7523",3.5,4.5,3.2,4.2,5,8,2004,2006,3.7,4.3,3.4,4,5,6,21,FALSE,38.7926,-76.1282,402021,4294365
"XFI1515",3,4.9,2.8,4.6,4,6,2006,2008,3.7,4.7,3.4,4.4,5,6,21,FALSE,38.6914,-75.9742,415276,4282982
"XGE0284",1,2.1,0.7,2,1,4,2004,2006,1.3,2,1,1.63,1,3,68,FALSE,38.8367,-76.5279,367389,4299764
"XGE0320",1.6,2.3,1.3,2,3,4,2011,2013,1.8,2.2,1.5,1.96,3,4,35,FALSE,38.8375,-76.5314,367087,4299858
"XGE2488",2.3,3.3,2,3,4,5,2004,2006,2.3,3.1,2,2.8,4,5,21,FALSE,38.8737,-76.5209,368065,4303860
"XGE3275",1.3,2.8,1,2.5,1,5,2004,2006,1.85,2.6,1,2.25,2,4,66,FALSE,38.886,-76.5415,366301,4305255
"XGE5492",1.1,4.3,0.8,4,2,6,2004,2006,1.74,4,1.44,3.7,3.1,5,22,FALSE,38.9234,-76.5132,368824,4309364
"XGE5984",1,2.4,0.7,2.1,2,4,2005,2005,1.12,2.1,0.82,1.89,2,3,22,FALSE,38.93147,-76.5268,367660,4310279
"XGE6281",1.3,4.5,1,4.2,2,8,2004,2006,2.83,3.97,2.52,3.67,4,6,22,FALSE,38.9369,-76.5314,367272,4310889
"XGE7059",0.7,4.3,0.7,4,1,7,2004,2006,1.3,2.36,1,2.06,2,4,68,FALSE,38.9495,-76.5687,364063,4312342
"XGF0681",0.2,1.4,0.1,1.1,1,2,2004,2006,0.5,1,0.3,0.790000000000001,1,2,72,FALSE,38.844,-76.3653,381514,4300350
"XGF1167",4.7,6,4.4,5.7,6,7,2017,2019,5.1,5.8,4.8,5.5,6,7,21,FALSE,38.85222,-76.38694,379651,4301291
"XGF1780",1.8,2.8,1.5,2.5,3,5,2004,2006,2,2.7,1.7,2.4,4,5,21,FALSE,38.8606,-76.533,366991,4302423
"XGF5025",1.3,2.6,1,2.3,2,5,2017,2019,1.8,2.4,1.5,2.1,3,4,68,FALSE,38.91675,-76.45838,373566,4308549
"XGF5404",1.8,4,1.5,3.7,3,5,2004,2006,1.82,3.08,1.52,2.78,3.1,5,22,FALSE,38.9238,-76.4928,370594,4309379
"XGF7480",5.6,6.8,5.3,6.5,7,8,2017,2019,5.7,6.7,5.4,6.4,7,8,21,FALSE,38.95701,-76.36705,381551,4312895
"XGF7832",3.5,7,1,6.7,1,8,2011,2019,5.95,6.7,5.56,6.4,6,8,87,FALSE,38.9611,-76.4475,374587,4313456
"XGF8027",2.6,3.1,2.3,2.8,4,6,2003,2003,2.7,3.05,2.4,2.75,4,5.5,6,FALSE,38.9681,-76.4539,374044,4314241
"XGG2084",1.8,4.2,1.5,3.9,3,5,2004,2006,1.8,3.12,1.5,2.82,3,5,20,FALSE,38.867,-76.1929,396509,4302693
"XGG3479",1,2.2,0.7,1.9,2,4,2004,2006,1.2,1.82,0.9,1.52,2,3.2,19,FALSE,38.8909,-76.2007,395868,4305354
"XGG4301",2.3,3.7,2,3.4,4,5,2004,2006,2.3,3.6,2,3.3,4,5,21,FALSE,38.9057,-76.3306,384626,4307153
"XGG4898",2.2,6.6,1.9,6.3,4,8,2004,2006,2.97,5.7,2.67,5.4,4,7.1,20,FALSE,38.9135,-76.1689,398658,4307827
"XGG5115",2.3,23.2,2,3,4,6,2004,2006,2.5,3.2,2.2,2.8,4,6,21,FALSE,38.9191,-76.3073,386667,4308611
"XGG5932",2.3,4.3,2,4,4,6,2004,2006,3.1,4.1,2.8,3.8,4,5,21,FALSE,38.9326,-76.2794,389107,4310075
"XGG5959",1.3,2.7,1,2.4,2,5,2004,2006,1.6,2.1,1.3,1.8,3,4,21,FALSE,38.9312,-76.234,393040,4309865
"XGG6667",1.6,2.9,1.3,2.6,3,5,2005,2008,2,2.6,1.7,2.3,3,5,66,FALSE,38.9428,-76.2216,394132,4311138
"XGG8251",0.5,7.2,0,6.9,1,8,1990,2019,1.1,6.6,0,5.9,1,6,362,FALSE,38.97113,-76.24734,391944,4314312
"XGG8359",1,2.2,0.5,1.1,1,2,2007,2009,1.2,1.56,0.6,1,1,2,35,FALSE,38.97128,-76.23573,392950,4314315
"XGG8458",1.2,1.9,0.5,1.5,1,3,2007,2009,1.2,1.7,0.7,1.2,1,2,39,FALSE,38.9734,-76.23669,392871,4314551
"XGG9992",2.3,5.8,2,5.7,4,7,2003,2006,4.45,5.7,4.15,5.4,5.5,7,26,FALSE,38.9995,-76.1791,397897,4317382
"XHE1284",3.7,7.6,3.4,7.3,5,9,2003,2003,3.85,7.3,3.55,7,5,8.5,6,FALSE,39.0208,-76.5263,367870,4320192
"XHE1973",2.7,5,1,4.7,1,6,2003,2003,3.02,4.2,1,3.68,1,4.6,35,FALSE,39.03162,-76.54535,366241,4321421
"XHE2258",3.4,5.3,3.1,5,4,6,2003,2003,4.2,5.3,3.9,5,5,6,6,FALSE,39.0371,-76.5695,364161,4322065
"XHE3170",6.9,7.8,6.6,7.5,8,9,2003,2003,6.95,7.7,6.65,7.4,8,9,6,FALSE,39.0515,-76.5506,365824,4323635
"XHF0206",3,4.4,2.7,4,4,5,2003,2003,3.25,4.3,2.85,3.95,4,5,6,FALSE,39.0029,-76.4906,370928,4318155
"XHF0460",1.4,2.6,0.5,2.3,1,5,2004,2019,1.8,2.3,1.5,2,3,4,218,FALSE,39.0075,-76.40033,378753,4318541
"XHF0488",15.4,16.2,15.1,15.9,14,15,2010,2010,15.48,16.2,15.18,15.82,14.4,15,5,FALSE,39.00585,-76.35438,382729,4318298
"XHF0561",1.8,2.7,0.5,2.4,1,5,2004,2007,2,2.6,1.5,2.3,3,5,52,FALSE,39.01647,-76.39488,379240,4319529
"XHF2584",11.6,12.5,11.3,12.2,12,13,2009,2011,11.68,12.22,11.38,11.92,12.8,13,19,FALSE,39.04072,-76.35997,382303,4322175
"XHF3230",2,3.2,1.7,2.9,4,5,2003,2003,2.06,2.78,1.76,2.48,4,4.4,7,FALSE,39.0532,-76.4494,374585,4323679
"XHF3339",1.5,4,1.2,3.7,3,5,2003,2003,1.74,3.88,1.44,3.58,3,5,7,FALSE,39.0562,-76.4358,375767,4323994
"XHF3719",1.1,2.4,0.8,1.5,1,3,2003,2003,1.6,2.24,1,1.3,1,3,38,FALSE,39.06102,-76.47017,372801,4324576
"XHF4727",3.5,4,3.2,3.7,5,7,2003,2003,3.56,3.88,3.26,3.58,5,5.8,7,FALSE,39.0787,-76.4556,374093,4326518
"XHF5111",2.4,3.5,2,3.2,3,6,2003,2003,2.76,3.38,2.42,3.08,3.6,6,7,FALSE,39.08657,-76.4329,376071,4327360
"XHF5340",1.2,3.3,0.9,3,2,4,2003,2003,1.26,3,0.96,2.7,2,4,7,FALSE,39.0892,-76.4329,376075,4327652
"XHF6841",1,1.9,0.7,1.6,1,3,2009,2011,1.3,1.8,1,1.5,2,3,71,FALSE,39.11285,-76.43217,376180,4330276
"XHF9165",6.2,8.2,1,7.9,1,9,2011,2017,6.8,7.97,6.38,7.66,8,9,45,FALSE,39.15191,-76.39115,379793,4334555
"XHF9808",1.2,2.2,0.9,1.9,1,4,2009,2011,1.3,1.93,1,1.63,2,3,68,FALSE,39.16273,-76.48747,371489,4335888
"XHG0859",1.8,2.8,1.5,2.5,3,5,2003,2006,2,2.7,1.66,2.4,3,5,27,FALSE,39.0139,-76.2349,393087,4319044
"XHG1579",1.8,3.8,1.5,3.5,3,5,2003,2006,2.2,3.3,1.82,3,3,5,27,FALSE,39.0257,-76.2017,395978,4320315
"XHG2318",1,14.2,0.7,1.7,1,3,2009,2011,1.3,1.7,1,1.4,2,3,72,FALSE,39.03938,-76.3038,387162,4321955
"XHG4413",9.3,9.3,5,5,4,4,2011,2011,9.3,9.3,5,5,4,4,1,FALSE,39.07062,-76.30788,386858,4325427
"XHG4755",4.6,5.6,4.3,5.3,6,7,2009,2011,4.8,5.5,4.5,5.2,6,7,21,FALSE,39.0779,-76.24163,392601,4326154
"XHG5819",8.6,11.3,8.3,11,10,12,2009,2011,8.7,9,8.4,8.7,10,10,21,FALSE,39.09698,-76.30732,386949,4328352
"XHG6496",4,8.3,3.7,8,5,9,2003,2006,6.04,8.04,5.74,7.74,7,9,27,FALSE,39.1063,-76.173,398578,4329227
"XHG8442",1.1,3.2,0.5,2.9,1,6,2009,2011,1.59,2.7,1.29,2.4,2.9,4,70,FALSE,39.14045,-76.26295,390853,4333122
"XHH3851",0.1,2.4,0.7,2.1,1,4,2005,2017,1.3,2,1,1.7,2,4,338,FALSE,39.06283,-76.08162,406422,4324305
"XHH4528",1,3.2,0.7,2.9,2,5,2006,2016,1.46,2.6,1.16,2.3,2.6,5,77,FALSE,39.0749,-76.1198,403135,4325685
"XHH4742",2,3.1,1,2.1,2,4,2006,2016,2.3,3,1.33,2,3,3,94,FALSE,39.07807,-76.0972,405094,4326013
"XHH4822",3.8,5,3.5,4.7,2,6,2003,2005,4.17,4.81,3.87,4.51,5,6,20,FALSE,39.0804,-76.1303,402234,4326306
"XHH4916",2.1,5.3,1.8,5,2,7,2006,2016,3.1,4.3,2.8,4,4,5,171,FALSE,39.0818,-76.1392,401467,4326471
"XHH4931",2,4.4,1.5,4.1,2,6,2006,2016,2.5,3.2,2.2,2.9,4,5,249,FALSE,39.0812,-76.1149,403568,4326379
"XHH5046",1.2,2.6,1,2.3,1,5,2005,2006,1.7,2.4,1.3,1.9,3,4,21,FALSE,39.08323,-76.10732,404226,4326596
"XHH6419",2.4,4,2,3.7,4,5,2003,2006,2.96,3.64,2.66,3.34,4,5,27,FALSE,39.1076,-76.1345,401909,4329329
"XHH7848",2.3,7.3,2,7,4,9,2003,2003,2.4,6.35,2.1,6.05,4.5,7.5,6,FALSE,39.1298,-76.08772,405983,4331744
"XHH9362",5.3,7.8,5,7.5,6,9,2003,2003,5.95,7.55,5.65,7.25,7,8.5,6,FALSE,39.15542,-76.06412,408056,4334563
"XIE2581",1.3,3,1,2.7,1,6,2009,2011,2.05,2.8,1.75,2.5,4,5,66,FALSE,39.20852,-76.53215,367715,4341034
"XIE4741",1.9,3.1,1,2.8,1,6,2009,2012,2.2,2.9,1.9,2.6,4,5,84,FALSE,39.2453,-76.59777,362121,4345214
"XIE4742",1.3,3,1,2.7,1,5,2013,2019,2,2.6,1.6,2.3,3,5,131,FALSE,39.24467,-76.59718,362171,4345143
"XIE4876",15,17.1,14,16.8,11,18,2009,2011,16,17,15,16.7,16,18,21,FALSE,39.24612,-76.53962,367141,4345218
"XIE5748",2.2,5,1,4.7,1,6,2004,2012,2.7,3.9,2.3,3.6,4,5,146,FALSE,39.2613,-76.5863,363142,4346973
"XIE6747",12.5,14,12,13.7,11,15,2009,2011,12.7,13.8,12.3,13.5,14,15,21,FALSE,39.27771,-76.58922,362922,4348798
"XIE7135",5.7,7.2,5.4,6.9,1,8,2016,2019,6.21,6.9,5.91,6.6,7,8,72,FALSE,39.28543,-76.60876,361252,4349686
"XIE7136",5.4,6.9,5,6.6,5,10,2016,2019,5.9,6.6,5.6,6.3,7,8,73,FALSE,39.28547,-76.60795,361322,4349688
"XIF0591",5.2,6,4.9,5.7,6,7,2009,2011,5.4,5.9,5.1,5.6,6,7,21,FALSE,39.17573,-76.34747,383607,4337142
"XIF1735",1.1,2.3,0.8,2,2,4,2009,2011,1.34,2,1,1.7,2,3,65,FALSE,39.1953,-76.44213,375464,4339440
"XIF2929",1.8,3.1,1.5,2.8,3,5,2009,2011,2.3,2.9,2,2.6,4,5,21,FALSE,39.21443,-76.45158,374682,4341576
"XIF3760",0.7,2.2,0.4,1.9,1,4,2015,2017,1,1.45,0.7,1.15,1,2,66,FALSE,39.2282,-76.40063,379108,4343035
"XIF4705",3,4.3,2.7,4,4,5,2009,2011,3.2,4,2.9,3.7,4,5,21,FALSE,39.24453,-76.4909,371342,4344972
"XIF4750",1.9,2.9,1.5,2.6,3,6,2014,2016,1.9,2.71,1.6,2.4,4,5,21,FALSE,39.24529,-76.41604,377805,4344953
"XIF4935",0.8,2.5,0.5,2.2,1,5,2014,2016,1.1,1.7,0.77,1.4,1,3,68,FALSE,39.2476,-76.4421,375560,4345245
"XIF7021",1,2.3,0.7,2,2,4,2014,2016,1.3,2,1,1.6,2,4,21,FALSE,39.28341,-76.46518,373632,4349251
"XIF7918",1,2.2,0.7,1.9,1,4,2014,2019,1.4,2,1,1.71,2,3.10000000000001,110,FALSE,39.29811,-76.4703,373217,4350889
"XIG2224",3.5,4.1,3.2,3.8,5,5,2009,2011,3.6,3.9,3.3,3.6,5,5,21,FALSE,39.2037,-76.29322,388337,4340178
"XIG2853",1.3,2.3,1,2,1,4,2015,2017,1.6,2.2,1.3,1.9,3,4,66,FALSE,39.21348,-76.24617,392413,4341209
"XIG4800",5.7,6.7,5.4,6.4,7,8,2015,2017,5.8,6.51,5.5,6.21,7,8,20,FALSE,39.2473,-76.3323,385034,4345066
"XIG5528",3.2,4.1,2.9,3.8,4,5,2015,2017,3.3,4.01,3,3.71,4,5,20,FALSE,39.2588,-76.2863,389022,4346285
