"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"TF3.1D",3,4,0.3,4,1,3,1991,1999,3,3,1,3,1,2,78,FALSE,38.28763,-77.44859,285847,4240565
"TF3.1E",2,6,1,5,1,5,1991,2019,3,5,3,4,2,3,328,TRUE,38.24469,-77.32508,296531,4235520
"TF3.1F",3,8,3,7,2,7,2008,2019,4,6,3,5,3,5,120,FALSE,38.26953,-77.42897,287510,4238511
"TF3.2",4,12,3,11,1,11,1990,2019,5,8,5,7,3,7,350,TRUE,38.17467,-77.18661,308466,4227454
"TF3.2A",3,13,2,13,2,9,1994,2019,4,7,4,6,3,6,285,TRUE,38.11295,-77.05482,319860,4220341
"TF3.3",3,10,3,9,2,8,1990,2019,6,9,5,8,4,7,367,TRUE,38.01847,-76.90928,332404,4209584
"TF4.1A",3,6,1,6,1,4,1994,1995,5,6,3.4,6,2.2,4,13,FALSE,37.66737,-77.13636,311578,4171057
"TF4.2",1,12,1,11,1,11,1990,2019,5,8.15999999999999,4,8,3,7,387,TRUE,37.57999,-77.02128,321520,4161136
"TF4.4",1,9,1,8,1,6,1990,2019,2,5,2,4,2,3,375,TRUE,37.7228,-77.02566,321475,4176991
"TF4.4A",5,8,0.3,8,1,5,1994,1995,6,7,0.3,7,1,4,16,FALSE,37.65375,-76.89774,332595,4169092
"TF5.2",1,1,1,1,1,2,1990,2019,1,1,1,1,1,1,366,TRUE,37.5305,-77.434,284929,4156508
"TF5.2A",5,11,1,11,1,9,1990,2019,7,10,6,9,4,8,359,TRUE,37.45,-77.41883,286040,4147541
"TF5.3",4,14,1,14,1,12,1990,2019,9,13,8,12,5,11,363,TRUE,37.4031,-77.39272,288218,4142278
"TF5.4",3,9,2,8,2,8,1990,2019,5,8,5,7,3,6,364,TRUE,37.3124,-77.29133,296949,4131990
"TF5.5",2,13,1,12,1,11,1990,2019,9,11,8,10,5,9,374,TRUE,37.31265,-77.23283,302134,4131894
"TF5.5A",7,11,6,10,1,10,1990,2019,8,10,8,9,5,9,366,TRUE,37.30165,-77.1284,311362,4130460
"TF5.5AN",NA,NA,1,1,1,1,1994,1994,NA,NA,1,1,1,1,11,FALSE,37.30904,-77.13025,311216,4131283
"TF5.5AS",NA,NA,1,1,1,1,1994,1994,NA,NA,1,1,1,1,11,FALSE,37.2982,-77.12691,311485,4130074
"TF5.6",6,13,5,15,2,10,1990,2019,9,11,9,10,5,9,367,TRUE,37.27272,-76.99057,323511,4126983
"TF5.6A",7,8,0.3,8,1,5,1994,1995,7.1,8,0.3,8,1,5,20,FALSE,37.22182,-76.92329,329362,4121212
"TFB01",NA,NA,0.1,0.1,1,1,1990,1997,NA,NA,0.1,0.1,1,1,54,FALSE,38.91928,-77.08303,319413,4309881
"TFB02",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,28,FALSE,38.93417,-77.07889,319810,4311526
"TFC01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,76,FALSE,38.88678,-76.9372,331980,4305996
"TFD01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,74,FALSE,38.87011,-76.95803,330134,4304184
"TFE01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,30,FALSE,39.0125,-77.04361,323063,4320150
"TFS01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,76,FALSE,38.86678,-76.9747,328679,4303846
"THR01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,231,FALSE,38.90844,-76.9622,329863,4308446
"TKV01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,34,FALSE,38.93306,-77.05111,322215,4311348
"TLU01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,35,FALSE,38.9621,-77.04135,323133,4314552
"TMH01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,35,FALSE,38.93781,-77.05304,322060,4311879
"TMI01",NA,NA,0.1,0.1,1,1,2003,2009,NA,NA,0.1,0.1,1,1,57,FALSE,38.94577,-77.10293,317756,4312861
"TNA01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,79,FALSE,38.91011,-76.94136,331674,4308593
"TNS01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,36,FALSE,38.91917,-77.05611,321747,4309816
"TOR01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,133,FALSE,38.83178,-77.04081,322856,4300087
"TPB01",NA,NA,0.1,0.1,1,1,1990,2012,NA,NA,0.1,0.1,1,1,77,FALSE,38.88678,-76.97636,328583,4306068
"TPI01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,35,FALSE,38.97111,-77.04417,322911,4315557
"TPO01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,35,FALSE,38.98841,-77.04135,323199,4317472
"TPY01",NA,NA,0.1,0.1,1,1,2003,2012,NA,NA,0.1,0.1,1,1,33,FALSE,38.93528,-77.04778,322509,4311588
"TRQ0088",0.6,5,0,3.6,1,5,2003,2013,1.1,3.5,0,1,1,2,192,FALSE,38.41722,-75.99361,413259,4252575
"TRQ0146",1.2,3.2,0,0,1,1,2003,2013,1.8,2.6,0,0,1,1,129,FALSE,38.46556,-76.00056,412710,4257946
"TRQ0203",0.4,1.8,0,0,1,1,2011,2013,1,1.54,0,0,1,1,34,FALSE,38.513,-75.968,415606,4263179
"TRQ0224",0.5,1.6,0,0,1,1,2011,2013,1,1.5,0,0,1,1,34,FALSE,38.555,-75.936,418444,4267811
